               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.082486,           0.0078209,           0.0040155,           0.0033446,             0.22331,           0.0032778,          0.00079537,            0.080154,           0.0045932,            0.003915,            0.067407,          0.00032922,          0.00032922
                   1,            0.062512,            0.011845,           0.0039471,           0.0053046,             0.46109,           0.0070663,           0.0016323,            0.053567,           0.0075564,           0.0037828,            0.034401,          0.00065599,          0.00065599
                   2,            0.045851,            0.014854,           0.0039086,           0.0055113,             0.47322,           0.0066967,            0.001582,            0.045369,           0.0083179,           0.0037092,           0.0013877,          0.00097617,          0.00097617
                   3,             0.04082,            0.015014,           0.0038463,           0.0060406,             0.49746,           0.0067657,           0.0022091,             0.04403,           0.0083104,           0.0036608,           0.0009703,           0.0009703,           0.0009703
                   4,             0.03798,            0.015944,           0.0038198,           0.0078054,             0.58481,            0.011092,           0.0035951,            0.042857,            0.008107,           0.0036106,           0.0009703,           0.0009703,           0.0009703
                   5,            0.037191,            0.015579,           0.0037921,           0.0093413,             0.62365,             0.02824,           0.0085694,            0.041283,            0.007917,           0.0035795,           0.0009604,           0.0009604,           0.0009604
                   6,            0.037705,            0.014415,           0.0037783,            0.010773,             0.65403,             0.05233,            0.015559,            0.041529,           0.0075635,           0.0035465,           0.0009505,           0.0009505,           0.0009505
                   7,            0.035827,            0.014087,            0.003781,            0.012762,             0.65155,            0.060535,            0.019834,            0.040396,           0.0072768,           0.0035183,           0.0009406,           0.0009406,           0.0009406
                   8,            0.035551,            0.013494,           0.0037373,            0.013348,             0.67463,            0.077234,            0.026563,            0.039904,           0.0069328,           0.0034906,           0.0009307,           0.0009307,           0.0009307
                   9,            0.035009,             0.01208,           0.0037736,            0.013616,             0.70135,             0.13639,             0.05723,            0.040365,           0.0065428,           0.0034702,           0.0009208,           0.0009208,           0.0009208
                  10,             0.03461,            0.011603,           0.0037822,            0.036028,              0.6625,             0.17633,            0.079517,            0.040273,            0.006212,           0.0034548,           0.0009109,           0.0009109,           0.0009109
                  11,            0.034284,            0.011228,           0.0037326,            0.058792,             0.59093,             0.20729,            0.091899,            0.039907,           0.0059485,            0.003437,            0.000901,            0.000901,            0.000901
                  12,            0.034325,            0.010583,           0.0037416,            0.058713,             0.61036,             0.22902,            0.098744,            0.040301,           0.0057102,           0.0034208,           0.0008911,           0.0008911,           0.0008911
                  13,            0.033978,             0.01022,           0.0037525,            0.079021,             0.58363,             0.25027,             0.10884,            0.040273,           0.0054902,           0.0033905,           0.0008812,           0.0008812,           0.0008812
                  14,            0.033456,            0.010004,           0.0037311,             0.10909,             0.53031,             0.27531,               0.123,            0.040579,           0.0052828,           0.0033724,           0.0008713,           0.0008713,           0.0008713
                  15,            0.033035,           0.0093101,           0.0037453,             0.14123,             0.49863,             0.30563,             0.13751,            0.040558,            0.005141,           0.0033646,           0.0008614,           0.0008614,           0.0008614
                  16,            0.033356,           0.0094301,           0.0037135,              0.1763,             0.51814,             0.31194,             0.14182,            0.039384,           0.0050811,           0.0033527,           0.0008515,           0.0008515,           0.0008515
                  17,            0.032223,           0.0090042,            0.003699,             0.23083,             0.51336,             0.32665,             0.15106,            0.038799,           0.0050468,           0.0033384,           0.0008416,           0.0008416,           0.0008416
                  18,            0.032535,           0.0093635,           0.0036962,             0.27899,             0.50233,             0.34239,             0.16051,            0.038756,           0.0049638,           0.0033321,           0.0008317,           0.0008317,           0.0008317
