               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.095233,            0.013575,                   0,             0.13188,              0.1369,            0.054435,            0.012132,            0.085286,           0.0084088,                   0,            0.067407,          0.00032922,          0.00032922
                   1,            0.079111,            0.016812,                   0,             0.23028,                0.25,            0.097538,            0.024285,            0.072994,           0.0092444,                   0,            0.034401,          0.00065599,          0.00065599
                   2,            0.065976,            0.017572,                   0,             0.25212,             0.25595,             0.17369,            0.050927,             0.06603,           0.0082341,                   0,           0.0013877,          0.00097617,          0.00097617
                   3,            0.059417,             0.01661,                   0,             0.35574,             0.29762,             0.22581,            0.071784,            0.061761,           0.0076324,                   0,           0.0009703,           0.0009703,           0.0009703
                   4,            0.053977,            0.015096,                   0,             0.32483,              0.3869,             0.26293,            0.086416,            0.059367,           0.0070729,                   0,           0.0009703,           0.0009703,           0.0009703
                   5,            0.051017,            0.013591,                   0,             0.41216,             0.38095,             0.31083,            0.092927,            0.058044,           0.0066868,                   0,           0.0009604,           0.0009604,           0.0009604
                   6,            0.048698,            0.013349,                   0,             0.37582,             0.42262,             0.30449,             0.10304,            0.055706,           0.0064883,                   0,           0.0009505,           0.0009505,           0.0009505
                   7,            0.046571,            0.011618,                   0,             0.38279,             0.44048,             0.31619,             0.11173,            0.053592,           0.0063312,                   0,           0.0009406,           0.0009406,           0.0009406
                   8,            0.045199,            0.011655,                   0,             0.44245,             0.45238,             0.38375,             0.13756,            0.052622,            0.006097,                   0,           0.0009307,           0.0009307,           0.0009307
                   9,            0.044961,            0.010999,                   0,             0.46713,             0.44354,             0.37581,             0.13783,            0.052918,           0.0059091,                   0,           0.0009208,           0.0009208,           0.0009208
                  10,            0.043108,            0.010342,                   0,              0.4853,             0.44901,             0.41514,             0.15816,             0.05199,           0.0057435,                   0,           0.0009109,           0.0009109,           0.0009109
                  11,            0.042294,           0.0098974,                   0,             0.48729,             0.46429,             0.43383,             0.16773,            0.051518,           0.0055903,                   0,            0.000901,            0.000901,            0.000901
                  12,             0.04156,              0.0106,                   0,             0.53225,              0.4809,              0.4653,             0.19098,            0.049969,           0.0055387,                   0,           0.0008911,           0.0008911,           0.0008911
                  13,            0.041098,            0.010063,                   0,             0.53947,             0.48808,             0.47103,             0.19308,            0.049397,           0.0054833,                   0,           0.0008812,           0.0008812,           0.0008812
                  14,             0.04061,             0.01012,                   0,             0.55063,             0.51056,             0.48593,             0.20145,            0.048263,           0.0054396,                   0,           0.0008713,           0.0008713,           0.0008713
                  15,            0.039511,           0.0096642,                   0,              0.5949,             0.52447,             0.51065,             0.21018,            0.047407,            0.005452,                   0,           0.0008614,           0.0008614,           0.0008614
                  16,            0.038382,           0.0097645,                   0,             0.59316,             0.53806,             0.53313,             0.22238,            0.046746,            0.005397,                   0,           0.0008515,           0.0008515,           0.0008515
                  17,            0.038661,           0.0096042,                   0,             0.58121,             0.55357,             0.54325,             0.22126,            0.046934,           0.0053201,                   0,           0.0008416,           0.0008416,           0.0008416
                  18,            0.038572,           0.0095473,                   0,             0.62184,             0.55357,              0.5576,             0.21924,            0.047229,           0.0052813,                   0,           0.0008317,           0.0008317,           0.0008317
                  19,             0.03761,           0.0091088,                   0,             0.60607,             0.55864,             0.56993,             0.23641,            0.046254,           0.0052457,                   0,           0.0008218,           0.0008218,           0.0008218
                  20,             0.03784,           0.0091878,                   0,             0.61158,             0.54762,             0.56906,             0.24793,            0.044619,           0.0052624,                   0,           0.0008119,           0.0008119,           0.0008119
                  21,            0.037107,           0.0096775,                   0,             0.66628,             0.56548,             0.59231,             0.24464,            0.044856,           0.0052235,                   0,            0.000802,            0.000802,            0.000802
                  22,             0.03668,           0.0092561,                   0,             0.66215,             0.57143,             0.59939,             0.24684,             0.04542,           0.0051935,                   0,           0.0007921,           0.0007921,           0.0007921
                  23,             0.03712,           0.0091907,                   0,             0.62447,             0.55431,              0.5777,             0.24804,            0.045003,           0.0051533,                   0,           0.0007822,           0.0007822,           0.0007822
                  24,            0.036477,           0.0092847,                   0,              0.6484,             0.54762,             0.58562,             0.24867,             0.04465,           0.0051283,                   0,           0.0007723,           0.0007723,           0.0007723
                  25,            0.036054,           0.0091686,                   0,             0.65832,             0.57738,             0.59854,             0.24485,            0.044829,           0.0051239,                   0,           0.0007624,           0.0007624,           0.0007624
                  26,            0.036122,           0.0092542,                   0,             0.66192,             0.58929,             0.59146,             0.25859,            0.043162,           0.0051442,                   0,           0.0007525,           0.0007525,           0.0007525
                  27,            0.036123,           0.0089735,                   0,             0.64897,             0.59524,             0.60996,             0.25568,            0.043603,           0.0050898,                   0,           0.0007426,           0.0007426,           0.0007426
                  28,             0.03495,           0.0089776,                   0,             0.66542,             0.58008,             0.62443,              0.2611,            0.043732,           0.0050803,                   0,           0.0007327,           0.0007327,           0.0007327
                  29,            0.035765,           0.0086563,                   0,             0.64334,             0.60125,             0.60912,             0.26781,            0.043173,           0.0050901,                   0,           0.0007228,           0.0007228,           0.0007228
