               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.030069,           0.0082353,                   0,             0.66634,             0.59524,             0.63101,              0.2837,            0.041394,           0.0048574,                   0,            0.067407,          0.00032922,          0.00032922
                   1,            0.030258,           0.0082922,                   0,             0.72067,              0.6131,             0.65611,              0.2902,            0.041168,           0.0048729,                   0,            0.034386,          0.00064069,          0.00064069
                   2,             0.02942,           0.0080761,                   0,             0.74814,             0.57143,             0.64536,             0.27559,            0.042386,           0.0049263,                   0,           0.0013417,          0.00093016,          0.00093016
                   3,            0.030307,           0.0084211,                   0,             0.73064,             0.60714,             0.64648,             0.27939,            0.041705,           0.0048096,                   0,            0.000901,            0.000901,            0.000901
                   4,            0.029651,           0.0081701,                   0,             0.76498,             0.59524,             0.66193,              0.2851,            0.041212,           0.0047435,                   0,            0.000901,            0.000901,            0.000901
                   5,            0.029987,           0.0081823,                   0,             0.72867,             0.60119,             0.65648,             0.28246,            0.040471,           0.0048146,                   0,            0.000868,            0.000868,            0.000868
                   6,            0.029952,           0.0086476,                   0,             0.68445,             0.59392,             0.62896,             0.26966,            0.041807,           0.0048153,                   0,            0.000835,            0.000835,            0.000835
                   7,            0.029164,           0.0080551,                   0,              0.7618,             0.59014,              0.6449,             0.27184,             0.04265,           0.0049719,                   0,            0.000802,            0.000802,            0.000802
                   8,            0.029269,           0.0082909,                   0,              0.7805,             0.60119,             0.67085,             0.28593,            0.041641,           0.0048527,                   0,            0.000769,            0.000769,            0.000769
                   9,            0.029777,           0.0082111,                   0,             0.71502,              0.6131,             0.64418,             0.27274,            0.042713,           0.0047985,                   0,            0.000736,            0.000736,            0.000736
                  10,            0.028837,           0.0079046,                   0,             0.71395,             0.60714,             0.65706,             0.28437,            0.040603,           0.0047979,                   0,            0.000703,            0.000703,            0.000703
                  11,            0.028562,           0.0077942,                   0,             0.71259,             0.61905,             0.66008,             0.28158,            0.041192,           0.0047921,                   0,             0.00067,             0.00067,             0.00067
